id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13214880,"Elegant serviced apartments, central Croydon Apt3.",72850980,Michael,,Croydon,51.37347981,-0.105930978,Entire home/apt,75,3,5,05/08/2016,1.53,2,271
9108443,Lovely flat with beautiful terrace,28886982,Francis And Mark,,Croydon,51.36275371,-0.089276464,Entire home/apt,105,5,1,26/03/2016,0.16,21,0
9409799,Near Croydon. The Stanton Suite,35351106,Hugh,,Croydon,51.39883158,-0.082270895,Entire home/apt,40,1,58,22/09/2016,5.59,2,336
9008703,"New Build,2 Bed,2 Bathrooms,Quiet",47042557,Michal,,Croydon,51.40280929,-0.076741955,Entire home/apt,50,1,0,,,1,0
15310604,Modern&well appointed studio garden in famous home,61353730,Revivit,,Croydon,51.395637,-0.080056435,Entire home/apt,37,4,0,,,4,93
10584944,Unique contemporary home from home,54608267,Pat,,Croydon,51.33787237,-0.130886243,Entire home/apt,30,1,12,18/08/2016,1.64,2,325
13085955,"Spacious 3B, direct London trains",55311898,Louise,,Croydon,51.36206896,-0.091027929,Entire home/apt,100,1,5,29/08/2016,1.56,2,352
10463050,2-Bed Apart 10 min to London Bridge,33729662,Dylan,,Croydon,51.39493532,-0.072071731,Entire home/apt,99,3,11,19/09/2016,1.43,2,44
14676516,Croydon,91233480,Alsahar,,Croydon,51.38818367,-0.11984975,Entire home/apt,99,1,2,15/09/2016,2,1,175
3262803,"Modern, Fresh 4 BD incl Loft room ",8733246,Sophia,,Croydon,51.41826203,-0.094129955,Entire home/apt,95,7,1,02/08/2015,0.07,1,0
15090642,"Spacious, newly decorated flat in quiet area",95518749,Nigel,,Croydon,51.36442703,-0.090345852,Entire home/apt,40,6,0,,,1,38
11551915,Cosy Flat for two,44775341,Jo,,Croydon,51.39927355,-0.096372795,Entire home/apt,36,5,1,21/08/2016,0.68,1,9
14316782,Vista Heights,87544770,Joanne,,Croydon,51.34614671,-0.058759726,Entire home/apt,80,5,0,,,1,233
12476803,"Stunning 2-beds, 2 toilets, 2 mins to East Croydon",67535337,Naila,,Croydon,51.37237081,-0.092166188,Entire home/apt,165,3,4,21/09/2016,1.33,3,76
13904572,"Studio, 20 min away from Central London",82437746,Aa,,Croydon,51.37824593,-0.097222652,Entire home/apt,75,3,4,23/09/2016,2.79,5,68
14048438,Studio Flat - Perfect for a family of four.,82437746,Aa,,Croydon,51.3772132,-0.097889894,Entire home/apt,90,3,1,22/08/2016,0.7,5,69
11297033,Grand Proportion 1 Bed Period Flat,40397439,Luke,,Croydon,51.36273603,-0.088391483,Entire home/apt,71,1,0,,,1,0
9988623,Cosy home with great transport link,37481170,Alex,,Croydon,51.38085046,-0.12393946,Entire home/apt,60,1,0,,,2,0
14052170,Cosy and bright 1 bed flat,67535337,Naila,,Croydon,51.3687451,-0.102265172,Entire home/apt,85,3,0,,,3,89
5274595,BUDGET CROYDON HIGH ST STUDIOS BCH1,5319733,Analisa,,Croydon,51.37222287,-0.099512537,Entire home/apt,70,1,4,19/07/2016,0.37,2,333
7005720,Home away from home!,36726023,Buki,,Croydon,51.38026754,-0.087285085,Entire home/apt,120,3,4,18/07/2016,0.28,1,339
11712434,"Chartfield, Shirley Hills",61369044,Deniza,,Croydon,51.36559542,-0.048533995,Entire home/apt,279,28,0,,,6,171
6983251,BUDGET CROYDON HIGH ST STUDIOS BCH2,5319733,Analisa,,Croydon,51.37157775,-0.100107746,Entire home/apt,70,1,0,,,2,341
