id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8663617,Cosy private garden cabin,45511198,Daniel,,Kingston upon Thames,51.41875467,-0.284387017,Private room,38,1,1,15/05/2016,0.21,1,0
6042456,Well presented single room.,31358376,Alison,,Kingston upon Thames,51.40096344,-0.267264691,Private room,45,1,0,,,1,365
1715697, Room in Kingston By Richmond Park,4948856,Jackie,,Kingston upon Thames,51.42641229,-0.294530162,Private room,75,1,0,,,1,365
13511353,Charming & cosy mid-terrace house!,7802896,Anna-Louise,,Kingston upon Thames,51.41860671,-0.301421772,Private room,35,2,2,14/08/2016,1.09,1,313
2499857,Riverside Double Room,12794782,Patricia,,Kingston upon Thames,51.41548784,-0.30424099,Private room,55,2,13,05/02/2016,0.49,1,90
13873467,Large double (2 single together) Private WC&Shower,4532610,Stephanie,,Kingston upon Thames,51.39083257,-0.314111738,Private room,60,1,6,04/09/2016,2.37,1,59
8922017,Nice square single room and bed,17249646,Sangho,,Kingston upon Thames,51.40603368,-0.269593138,Private room,25,1,1,10/04/2016,0.17,2,355
11150682,Fantastic Room in a Modern house,22791764,Haider,,Kingston upon Thames,51.40797432,-0.289796334,Private room,40,14,0,,,4,359
10494421,Cosy Room in a Happy Home,51206977,Fatoum,,Kingston upon Thames,51.39162568,-0.248632711,Private room,29,1,11,10/09/2016,1.81,3,259
414862,Cosy room - 20 min train to London,1961527,Penny,,Kingston upon Thames,51.38885817,-0.291806613,Private room,25,2,56,11/09/2016,1.04,1,363
14398783,Spacious & stylish double room in Victorian house,88500601,Amy,,Kingston upon Thames,51.40258669,-0.296506585,Private room,75,1,1,15/08/2016,0.6,1,178
14685984,Family Room for Up to 4 People!,90248222,Jenny,,Kingston upon Thames,51.39806525,-0.260851917,Private room,51,1,1,14/09/2016,1,2,68
661917,"Spacious Double Bedroom,Kingston Centre, SW London",2413601,Claire &  Alan,,Kingston upon Thames,51.41742646,-0.303649677,Private room,42,2,36,02/09/2016,0.74,2,305
